row,snu1uid,statename,snu2,level4name,level5name,uid,uid_diff,psnuuid
168,sXsTHBsj0rh,Borno,Shani,Borno,bo Shani,xJCynBk9mXI,,xJCynBk9mXI
169,sXsTHBsj0rh,Borno,Kukawa,Borno,bo Kukawa,iE5LhdbOoQI,,iE5LhdbOoQI
170,sXsTHBsj0rh,Borno,Magumeri,Borno,bo Magumeri,ZtstX7En5ot,,ZtstX7En5ot
171,sXsTHBsj0rh,Borno,Hawul,Borno,bo Hawul,JvtwguXEkD5,,JvtwguXEkD5
172,sXsTHBsj0rh,Borno,Gwoza,Borno,bo Gwoza,MdJ6fZJNIWg,,MdJ6fZJNIWg
173,sXsTHBsj0rh,Borno,Kala/Balge,Borno,bo Kala/Balge,vSNtNuibM9P,,vSNtNuibM9P
174,sXsTHBsj0rh,Borno,Ngala,Borno,bo Ngala,WQwHVPPsqW2,,WQwHVPPsqW2
175,sXsTHBsj0rh,Borno,Nganzai,Borno,bo Nganzai,a76Ey6R5Ynz,,a76Ey6R5Ynz
176,sXsTHBsj0rh,Borno,Monguno,Borno,bo Monguno,I5QvelpUvDa,,I5QvelpUvDa
177,sXsTHBsj0rh,Borno,Mobbar,Borno,bo Mobbar,aBEaAM8Eabm,,aBEaAM8Eabm
178,sXsTHBsj0rh,Borno,Askira/Uba,Borno,bo Askira-Uba,B6B6G0suyIH,,B6B6G0suyIH
179,sXsTHBsj0rh,Borno,Guzamala,Borno,bo Guzamala,ZeCCooHQrB4,,ZeCCooHQrB4
180,pq7kECDgKc7,Cross River,Calabar South,Cross River,cr Calabar South,CXhkcOKexa8,,CXhkcOKexa8
181,pq7kECDgKc7,Cross River,Yakurr,Cross River,cr Yakuur,ErgzW0NbtKg,,ErgzW0NbtKg
182,pq7kECDgKc7,Cross River,Calabar Municipal,Cross River,cr Calabar Municipal,KmN1vtO0Xv3,,KmN1vtO0Xv3
183,pq7kECDgKc7,Cross River,Obubra,Cross River,cr Obubra,QYalSmXneXl,,QYalSmXneXl
184,pq7kECDgKc7,Cross River,Abi,Cross River,cr Abi,e7J1RT47WsJ,,e7J1RT47WsJ
185,i5hb4KFA5MW,Delta,Aniocha South,Delta,de Aniocha South,jjdlSy7XvmM,,jjdlSy7XvmM
186,pq7kECDgKc7,Cross River,Yala,Cross River,cr Yala,rtUy9A3YHEU,,rtUy9A3YHEU
187,pq7kECDgKc7,Cross River,Boki,Cross River,cr Boki,virmrpkYGXf,,virmrpkYGXf
188,pq7kECDgKc7,Cross River,Akamkpa,Cross River,cr Akamkpa,NIaJ9yoGyDs,,NIaJ9yoGyDs
189,pq7kECDgKc7,Cross River,Ogoja,Cross River,cr Ogoja,pQ5yVgpTBiz,,pQ5yVgpTBiz
190,pq7kECDgKc7,Cross River,Bekwarra,Cross River,cr Bekwarra,uUHJXESBL6v,,uUHJXESBL6v
191,pq7kECDgKc7,Cross River,Obudu,Cross River,cr Obudu,Z9MZT1BTsJ5,,Z9MZT1BTsJ5
192,pq7kECDgKc7,Cross River,Biase,Cross River,cr Biase,proG1Con5sh,,proG1Con5sh
193,pq7kECDgKc7,Cross River,Etung,Cross River,cr Etung,HySQRcghuzV,,HySQRcghuzV
194,i5hb4KFA5MW,Delta,Patani,Delta,de Patani,G1wJbuwm1Pj,,G1wJbuwm1Pj
195,W1EHlIiNm7L,Ekiti,Moba,Ekiti,ek Moba,An7rsUOrIhI,,An7rsUOrIhI
196,pq7kECDgKc7,Cross River,Odukpani,Cross River,cr Odukpani,gsS9Cpuu01y,,gsS9Cpuu01y
197,pq7kECDgKc7,Cross River,Ikom,Cross River,cr Ikom,GIXuVsi53km,,GIXuVsi53km
